Date,Day,Tag,Country,Value
2014-11-03,226,Cases,SierraLeone,0
2014-11-03,226,Cases,Spain,0
2014-11-03,226,Cases,UnitedStates,0
2014-11-03,226,Deaths,Guinea,1054
2014-11-03,226,Deaths,Liberia,0
2014-11-03,226,Deaths,Mali,0
2014-11-03,226,Deaths,Nigeria,0
2014-11-03,226,Deaths,Senegal,0
2014-11-03,226,Deaths,SierraLeone,0
2014-11-03,226,Deaths,Spain,0
2014-11-03,226,Deaths,UnitedStates,0
2014-11-30,253,Cases,Guinea,2164
2014-11-30,253,Cases,Liberia,0
2014-11-30,253,Cases,Mali,7
2014-11-30,253,Cases,Nigeria,20
2014-11-30,253,Cases,Senegal,1
2014-11-30,253,Cases,SierraLeone,7312
2014-11-30,253,Cases,Spain,1
2014-11-30,253,Cases,UnitedStates,4
2014-11-30,253,Deaths,Guinea,1327
2014-11-30,253,Deaths,Liberia,0
2014-11-30,253,Deaths,Mali,6
2014-11-30,253,Deaths,Nigeria,8
2014-11-30,253,Deaths,Senegal,0
2014-11-30,253,Deaths,SierraLeone,1583
2014-11-30,253,Deaths,Spain,0
2014-11-30,253,Deaths,UnitedStates,1
2014-11-04,227,Cases,Guinea,0
2014-11-04,227,Cases,Liberia,6619
2014-11-04,227,Cases,Mali,1
2014-11-04,227,Cases,Nigeria,20
2014-11-04,227,Cases,Senegal,1
2014-11-04,227,Cases,SierraLeone,4862
2014-11-04,227,Cases,Spain,1
2014-11-04,227,Cases,UnitedStates,4
2014-11-04,227,Deaths,Guinea,0
2014-11-04,227,Deaths,Liberia,2766
2014-11-04,227,Deaths,Mali,1
2014-11-04,227,Deaths,Nigeria,8
2014-11-04,227,Deaths,Senegal,0
2014-11-04,227,Deaths,SierraLeone,1130
2014-11-04,227,Deaths,Spain,0
2014-11-04,227,Deaths,UnitedStates,1
2014-11-08,231,Cases,Guinea,0
2014-11-08,231,Cases,Liberia,6822
2014-11-08,231,Cases,Mali,0
2014-11-08,231,Cases,Nigeria,0
2014-11-08,231,Cases,Senegal,0
2014-11-08,231,Cases,SierraLeone,0
2014-11-08,231,Cases,Spain,0
2014-11-08,231,Cases,UnitedStates,0
2014-11-08,231,Deaths,Guinea,0
2014-11-08,231,Deaths,Liberia,2836
2014-11-08,231,Deaths,Mali,0
2014-11-08,231,Deaths,Nigeria,0
2014-11-08,231,Deaths,Senegal,0
2014-11-08,231,Deaths,SierraLeone,0
2014-11-08,231,Deaths,Spain,0
2014-11-08,231,Deaths,UnitedStates,0
2014-11-09,232,Cases,Guinea,1878
2014-11-09,232,Cases,Liberia,0
2014-11-09,232,Cases,Mali,1
2014-11-09,232,Cases,Nigeria,20
2014-11-09,232,Cases,Senegal,1
2014-11-09,232,Cases,SierraLeone,5368
2014-11-09,232,Cases,Spain,1
2014-11-09,232,Cases,UnitedStates,4
2014-11-09,232,Deaths,Guinea,1142
2014-11-09,232,Deaths,Liberia,0
2014-11-09,232,Deaths,Mali,1
2014-11-09,232,Deaths,Nigeria,8
2014-11-09,232,Deaths,Senegal,0
2014-11-09,232,Deaths,SierraLeone,1169
2014-11-09,232,Deaths,Spain,0
2014-11-09,232,Deaths,UnitedStates,1
2014-12-14,267,Cases,Guinea,2416
2014-12-14,267,Cases,Liberia,0
2014-12-14,267,Cases,Mali,0
2014-12-14,267,Cases,Nigeria,0
2014-12-14,267,Cases,Senegal,0
2014-12-14,267,Cases,SierraLeone,8356
2014-12-14,267,Cases,Spain,0
2014-12-14,267,Cases,UnitedStates,0
2014-12-14,267,Deaths,Guinea,1525
2014-12-14,267,Deaths,Liberia,0
2014-12-14,267,Deaths,Mali,0
2014-12-14,267,Deaths,Nigeria,0
2014-12-14,267,Deaths,Senegal,0
2014-12-14,267,Deaths,SierraLeone,2085
2014-12-14,267,Deaths,Spain,0
2014-12-14,267,Deaths,UnitedStates,0
2014-12-18,271,Cases,Guinea,0
2014-12-18,271,Cases,Liberia,7830
2014-12-18,271,Cases,Mali,0
2014-12-18,271,Cases,Nigeria,0
2014-12-18,271,Cases,Senegal,0
2014-12-18,271,Cases,SierraLeone,0
2014-12-18,271,Cases,Spain,0
